Method Name;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
com.naman14.timber.MusicPlayer.getShuffleMode();1;0.0;0;0;6.0;322.6466;0.0157;15;12;53.7744;9;1.0;0;66.963;2;3;1;0;0
com.naman14.timber.MusicPlayer.getSongCountForAlbumInt(Context, long);3;0.5;8;2;25.0;6501.63;0.1161;53;30;260.0652;20;0.0;0;54.4932;3;5;7;0;2
com.naman14.timber.MusicPlayer.getSongListForAlbum(Context, long);1;1.0;4;3;7.6667;1617.6383;0.0459;43;30;210.9963;17;0.1429;0;56.8056;1;2;13;0;2
com.naman14.timber.MusicPlayer.getSongListForArtist(Context, long);1;1.0;4;3;7.6667;1617.6383;0.0459;43;30;210.9963;17;0.1429;0;56.8056;1;2;13;0;2
com.naman14.timber.MusicPlayer.getTrack(int);1;0.0;0;0;7.5;430.1955;0.019;16;12;57.3594;9;1.0;0;66.7418;2;3;2;0;1
com.naman14.timber.MusicPlayer.getTrackName();1;0.0;0;0;8.0;372.0559;0.0172;14;10;46.507;9;1.0;0;67.3938;2;3;1;0;0
com.naman14.timber.MusicPlayer.initPlaybackServiceWithSettings(Context);0;0.0;0;0;0.0;0.0;0.0;4;4;8.0;2;0.0;0;87.1099;0;1;0;0;1
com.naman14.timber.MusicPlayer.isPlaybackServiceConnected();0;0.0;0;0;3.0;72.0;0.0058;8;8;24.0;3;1.0;0;79.9278;0;1;1;0;0
com.naman14.timber.MusicPlayer.isPlaying();1;0.0;0;0;6.0;322.6466;0.0157;15;12;53.7744;9;1.0;0;66.963;2;3;1;0;0
com.naman14.timber.MusicPlayer.makeInsertItems(long[], int, int, int);1;0.5;2;2;28.5;9177.6487;0.1461;65;31;322.0228;15;0.25;1;56.5438;2;6;9;1;4
com.naman14.timber.MusicPlayer.makeLabel(Context, int, int);0;1.0;2;0;4.6667;232.535;0.0126;15;10;49.8289;4;0.0;0;75.0319;0;1;3;0;3
com.naman14.timber.MusicPlayer.moveQueueItem(int, int);1;0.0;0;0;6.25;428.3274;0.0189;18;14;68.5324;9;1.0;0;66.2052;2;3;3;0;2
com.naman14.timber.MusicPlayer.next();1;0.0;0;0;6.0;219.2473;0.0121;11;10;36.5412;8;1.0;0;69.255;2;3;1;0;0
com.naman14.timber.MusicPlayer.openFile(String);1;0.0;0;0;5.3333;258.3042;0.0135;14;11;48.432;8;1.0;0;68.3802;2;3;2;0;1
com.naman14.timber.MusicPlayer.playAlbum(Context, long, int, boolean);1;0.0;0;1;7.8571;786.3287;0.0284;24;18;100.0782;6;0.0;0;68.9282;1;2;6;0;4
com.naman14.timber.MusicPlayer.playAll(Context, long[], int, long, IdType, boolean);2;0.5;2;3;20.7812;8207.6543;0.1356;77;35;394.9548;29;0.25;0;49.5806;3;13;13;0;6
com.naman14.timber.MusicPlayer.playArtist(Context, long, int, boolean);1;0.0;0;1;7.8571;786.3287;0.0284;24;18;100.0782;6;0.0;0;68.9282;1;2;6;0;4
com.naman14.timber.MusicPlayer.playNext(Context, long[], long, IdType);1;0.3333;2;5;8.125;1245.1339;0.0386;33;25;153.2473;11;0.1667;0;61.8381;1;3;11;0;4
com.naman14.timber.MusicPlayer.playOrPause();2;0.0;0;0;11.25;583.7791;0.0233;15;11;51.8915;12;1.0;0;64.3159;3;4;1;0;0
com.naman14.timber.MusicPlayer.position();1;0.0;0;0;6.0;365.6662;0.017;17;12;60.9444;10;1.0;0;65.5489;2;4;1;0;0
com.naman14.timber.MusicPlayer.previous(Context, boolean);1;1.0;2;1;8.8;774.4;0.0281;22;16;88.0;9;0.0;0;65.4757;1;2;5;0;2
com.naman14.timber.MusicPlayer.refresh();1;0.0;0;0;6.0;219.2473;0.0121;11;10;36.5412;8;1.0;0;69.255;2;3;1;0;0
com.naman14.timber.MusicPlayer.removeTrack(long);1;0.0;0;0;6.25;428.3274;0.0189;18;14;68.5324;9;1.0;0;66.2052;2;3;2;0;1
com.naman14.timber.MusicPlayer.removeTrackAtPosition(long, int);1;0.0;0;0;6.6;554.4;0.0225;21;16;84.0;9;1.0;0;65.5626;2;3;3;0;2
com.naman14.timber.MusicPlayer.seek(long);1;0.0;0;0;6.0;322.6466;0.0157;15;12;53.7744;9;1.0;0;66.9243;2;4;2;0;1
com.naman14.timber.MusicPlayer.seekRelative(long);1;0.0;0;0;6.0;344.1564;0.0164;16;12;57.3594;9;1.0;0;66.7031;2;4;2;0;1
com.naman14.timber.MusicPlayer.setQueuePosition(int);1;0.0;0;0;6.0;301.1369;0.015;14;12;50.1895;8;1.0;0;68.2561;2;3;2;0;1
com.naman14.timber.MusicPlayer.setShuffleMode(int);1;0.0;0;0;5.3333;221.4036;0.0122;12;11;41.5132;8;1.0;0;68.8595;2;3;2;0;1
com.naman14.timber.MusicPlayer.shuffleAll(Context);1;0.5;4;3;20.4545;5067.7574;0.0983;51;29;247.757;18;0.2;0;55.6021;2;7;8;0;1
com.naman14.timber.MusicPlayer.unbindFromService(ServiceToken);1;0.6667;3;1;9.2857;1100.6954;0.0355;29;17;118.5364;14;0.6667;0;60.3046;1;4;6;0;1
com.naman14.timber.MusicPlayer.ServiceBinder.ServiceBinder(ServiceConnection, Context);0;0.0;0;0;1.0;18.0947;0.0023;7;6;18.0947;4;1.0;0;78.0773;0;1;4;0;2
com.naman14.timber.MusicPlayer.ServiceBinder.onServiceConnected(ComponentName, IBinder);1;1.0;2;1;4.6667;276.2995;0.0141;16;13;59.207;8;0.6667;0;67.8073;1;2;5;0;2
com.naman14.timber.MusicPlayer.ServiceBinder.onServiceDisconnected(ComponentName);1;1.0;1;1;4.5;179.3841;0.0106;12;10;39.8631;7;0.5;0;70.3312;1;2;3;0;1
com.naman14.timber.MusicPlayer.ServiceToken.ServiceToken(ContextWrapper);0;0.0;0;0;1.0;8.0;0.0013;4;4;8.0;3;1.0;0;83.2686;0;1;2;0;1
com.naman14.timber.MusicService.addToPlayList(long[], int, long, IdType);1;0.1429;5;1;29.0909;9223.8128;0.1466;64;31;317.0686;20;0.6667;1;53.8905;1;5;10;1;4
com.naman14.timber.MusicService.addXTrackSelector(Notification);2;0.3;29;4;47.8704;35669.8599;0.3612;120;74;745.1344;30;0.25;1;47.4055;3;7;16;2;1
com.naman14.timber.MusicService.buildNotification();1;0.3421;31;3;38.5135;31265.6893;0.3308;126;87;811.8109;55;0.5;0;41.3443;1;11;26;0;0
com.naman14.timber.MusicService.cancelNotification();0;1.0;3;0;2.5;95.1344;0.0069;11;11;38.0537;6;1.0;0;71.9638;0;1;4;0;0
com.naman14.timber.MusicService.cancelShutdown();1;1.0;2;0;3.8571;228.37;0.0125;16;13;59.207;7;1.0;0;69.0178;1;3;5;0;0
com.naman14.timber.MusicService.closeCursor();1;1.0;1;0;10.0;602.2858;0.0238;19;9;60.2286;10;1.0;0;65.5876;1;3;2;0;0
com.naman14.timber.MusicService.closeExternalStorageFiles(String);0;0.0;0;0;2.5;67.5;0.0055;9;8;27.0;5;1.0;0;74.845;0;1;2;0;1
com.naman14.timber.MusicService.createNotificationChannel();1;1.0;3;2;4.0;256.0;0.0134;16;16;64.0;9;0.3333;0;66.4441;1;2;7;0;0
com.naman14.timber.MusicService.cycleRepeat();2;0.0;0;0;5.6;352.2819;0.0166;17;13;62.9075;10;1.0;0;65.4879;2;3;5;0;0
com.naman14.timber.MusicService.cycleShuffle();1;0.0;0;0;7.0;460.1044;0.0199;19;11;65.7292;10;1.0;0;65.3055;1;4;4;0;0
com.naman14.timber.MusicService.doAutoShuffleUpdate();1;0.3333;6;2;24.5455;11388.5805;0.1687;84;46;463.9792;28;0.7778;2;49.4876;3;8;14;2;0
com.naman14.timber.MusicService.duration();1;0.5;2;1;5.25;183.0632;0.0107;11;9;34.8692;6;0.5;0;72.2088;1;2;1;0;0
com.naman14.timber.MusicService.enqueue(long[], int, long, IdType);1;0.2;1;1;16.6154;4198.1097;0.0867;51;31;252.664;18;0.8571;0;55.6164;2;4;11;0;4
com.naman14.timber.MusicService.getAlbumArtistName();1;0.5;2;1;8.0;415.1318;0.0185;15;11;51.8915;8;0.5;0;68.2504;2;2;2;0;0
com.naman14.timber.MusicService.getAlbumId();1;0.5;2;1;7.5;485.4378;0.0206;17;14;64.725;8;0.5;0;67.5599;2;2;2;0;0
com.naman14.timber.MusicService.getAlbumName();1;0.5;2;1;8.0;415.1318;0.0185;15;11;51.8915;8;0.5;0;68.2504;2;2;2;0;0
com.naman14.timber.MusicService.getArtistId();1;0.5;2;1;7.5;485.4378;0.0206;17;14;64.725;8;0.5;0;67.5599;2;2;2;0;0
com.naman14.timber.MusicService.getArtistName();1;0.5;2;1;8.0;415.1318;0.0185;15;11;51.8915;8;0.5;0;68.2504;2;2;2;0;0
com.naman14.timber.MusicService.getAudioId();1;0.0;0;1;4.375;196.7552;0.0113;13;11;44.9726;7;0.0;0;69.9644;1;2;2;0;0
com.naman14.timber.MusicService.getAudioSessionId();0;1.0;1;0;3.0;58.9545;0.005;7;7;19.6515;5;1.0;0;75.7988;1;1;1;0;0
com.naman14.timber.MusicService.getCardId();2;0.6667;2;1;4.0;199.3157;0.0114;15;10;49.8289;9;0.0;0;67.2016;2;3;1;0;0
com.naman14.timber.MusicService.getCurrentTrack();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;1.0;0;83.2686;0;1;1;0;0
com.naman14.timber.MusicService.getGenreName();2;0.5556;9;2;23.8636;5965.9091;0.1096;50;32;250.0;23;0.6;0;53.2639;4;6;8;0;0
com.naman14.timber.MusicService.getMediaMountedCount();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;1.0;0;83.2686;0;1;1;0;0
com.naman14.timber.MusicService.getNextAudioId();1;0.6667;3;2;9.0;825.6452;0.0293;22;18;91.7384;8;0.6;0;66.3963;2;4;4;0;0
com.naman14.timber.MusicService.getNextPosition(boolean);3;0.625;7;2;52.0;67015.3026;0.55;220;58;1288.7558;68;0.8667;1;37.7926;4;30;27;4;1
com.naman14.timber.MusicService.getPath();1;0.5;2;1;8.0;415.1318;0.0185;15;11;51.8915;8;0.5;0;68.2504;2;2;2;0;0
com.naman14.timber.MusicService.getPreviousAudioId();2;0.5;3;2;10.7143;1290.0499;0.0395;27;22;120.4047;11;0.5;0;62.5382;3;4;4;0;0
com.naman14.timber.MusicService.getPreviousPlayPosition(boolean);2;0.6;5;0;15.4545;3789.0697;0.081;51;28;245.1751;21;1.0;0;54.2117;3;5;8;0;1
com.naman14.timber.MusicService.getQueue();0;0.5;2;1;13.0;1601.4687;0.0456;29;19;123.1899;10;0.5;1;63.4593;2;2;5;1;0
com.naman14.timber.MusicService.getQueueHistoryList();0;0.5;2;0;13.75;1342.9936;0.0406;25;15;97.6723;9;1.0;1;65.1796;2;2;3;1;0
com.naman14.timber.MusicService.getQueueHistoryPosition(int);1;0.5;2;0;10.5;882.0;0.0307;21;16;84.0;8;1.0;0;66.6784;2;3;2;0;1
com.naman14.timber.MusicService.getQueueHistorySize();0;1.0;1;0;3.0;58.9545;0.005;7;7;19.6515;5;1.0;0;75.7988;1;1;1;0;0
com.naman14.timber.MusicService.getQueueItemAtPosition(int);1;0.5;2;1;10.4;954.0788;0.0323;22;18;91.7384;8;0.5;0;66.435;2;3;3;0;1
com.naman14.timber.MusicService.getQueuePosition();0;0.0;0;0;2.5;38.7744;0.0038;6;6;15.5098;5;1.0;0;76.5177;1;1;1;0;0
com.naman14.timber.MusicService.getQueueSize();0;1.0;1;0;3.0;58.9545;0.005;7;7;19.6515;5;1.0;0;75.7988;1;1;1;0;0
com.naman14.timber.MusicService.getRepeatMode();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;1.0;0;83.2686;0;1;1;0;0
com.naman14.timber.MusicService.getShuffleMode();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;1.0;0;83.2686;0;1;1;0;0
com.naman14.timber.MusicService.getTrack(int);1;0.6667;3;1;8.0;593.8474;0.0236;19;15;74.2309;6;0.6667;0;69.7506;1;4;3;0;1
com.naman14.timber.MusicService.getTrackName();1;0.5;2;1;8.0;415.1318;0.0185;15;11;51.8915;8;0.5;0;68.2504;2;2;2;0;0
com.naman14.timber.MusicService.getValueForDownloadedFile(Context, Uri, String);1;0.6;5;0;16.7143;2456.09;0.0607;34;20;146.9456;17;0.0;0;57.8177;2;4;5;0;3
com.naman14.timber.MusicService.getmCardId();1;0.6667;6;0;17.0;2389.4207;0.0596;32;21;140.5542;12;0.0;0;61.2838;1;3;3;0;0
com.naman14.timber.MusicService.goToPosition(int);2;0.2222;2;0;13.3333;2526.1501;0.0618;39;29;189.4613;23;1.0;0;54.1145;3;6;6;0;1
com.naman14.timber.MusicService.gotoNext(boolean);2;0.2;2;0;17.5;4237.2911;0.0873;48;33;242.1309;23;1.0;0;53.3628;2;6;7;0;1
com.naman14.timber.MusicService.handleCommandIntent(Intent);2;0.2857;10;1;27.129;21473.2622;0.2575;134;60;791.5233;43;0.9565;0;43.6588;2;22;25;0;1
com.naman14.timber.MusicService.isPlaying();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;1.0;0;83.2686;0;1;1;0;0
com.naman14.timber.MusicService.makeAutoShuffleList();1;0.5;6;3;30.4615;10632.0936;0.1612;67;37;349.0334;27;0.25;1;50.7304;2;6;8;1;0
com.naman14.timber.MusicService.moveQueueItem(int, int);2;0.25;3;0;64.5;27286.5465;0.3021;88;28;423.0472;30;1.0;0;49.0542;3;12;6;0;2
com.naman14.timber.MusicService.notifyChange(String);3;0.2917;11;2;28.9655;19117.2414;0.2383;110;64;660.0;41;0.8333;0;44.7421;3;12;19;0;1
com.naman14.timber.MusicService.onBind(Intent);1;0.5;1;0;3.5;186.5604;0.0109;14;14;53.303;7;1.0;0;69.3984;0;2;5;0;1
com.naman14.timber.MusicService.onCreate();1;0.5946;29;9;36.2182;41169.3916;0.3974;170;103;1136.7051;67;0.7111;0;38.5558;1;5;48;0;0
com.naman14.timber.MusicService.onDestroy();1;0.625;22;3;24.7273;10339.2035;0.1582;72;56;418.1296;33;0.7368;0;48.2807;1;6;20;0;0
com.naman14.timber.MusicService.onPreferencesUpdate(Bundle);1;0.6;4;1;10.3846;1898.6888;0.0511;41;22;182.8367;12;0.6;0;60.5405;1;2;7;0;1
com.naman14.timber.MusicService.onRebind(Intent);0;0.0;0;0;2.0;31.0196;0.0033;6;6;15.5098;5;1.0;0;76.5177;0;1;1;0;1
com.naman14.timber.MusicService.onStartCommand(Intent, int, int);2;0.5;5;0;12.8571;3060.528;0.0703;49;29;238.0411;19;0.8571;0;55.2235;2;6;10;0;3
com.naman14.timber.MusicService.onUnbind(Intent);1;0.6667;4;0;8.6154;1433.7815;0.0424;35;27;166.4211;14;1.0;0;59.2122;1;6;9;0;1
com.naman14.timber.MusicService.open(long[], int, long, IdType);2;0.375;4;2;21.4783;9768.1304;0.1523;81;49;454.7915;33;0.8182;1;47.9908;4;8;19;1;4
com.naman14.timber.MusicService.openCurrent();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;0.0;0;83.2686;0;1;0;0;0
com.naman14.timber.MusicService.openCurrentAndMaybeNext(boolean);2;0.25;4;2;30.7143;15854.4288;0.2104;91;51;516.1907;44;0.8;1;44.8332;4;11;13;1;1
com.naman14.timber.MusicService.openCurrentAndNext();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;0.0;0;83.2686;0;1;0;0;0
com.naman14.timber.MusicService.openCursorAndGoToFirst(Uri, String[], String, String[]);1;0.75;4;0;9.0;843.8884;0.0298;24;15;93.7654;13;0.0;0;61.7694;1;3;5;0;4
com.naman14.timber.MusicService.openFile(String);4;0.4;15;4;46.1618;45707.1763;0.4261;158;77;990.1523;68;0.75;0;38.6615;5;18;23;0;1
com.naman14.timber.MusicService.pause();1;0.5;7;1;9.7143;1636.3003;0.0463;34;31;168.4427;16;0.7;0;58.004;2;3;11;0;0
com.naman14.timber.MusicService.play();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;0.0;0;83.2686;0;1;0;0;0
com.naman14.timber.MusicService.play(boolean);2;0.36;16;5;29.8065;18080.6772;0.2296;98;73;606.6028;37;0.625;0;45.9987;2;10;27;0;1
com.naman14.timber.MusicService.playlistChanged();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;1.0;0;83.2686;0;1;1;0;0
com.naman14.timber.MusicService.position();1;0.5;2;1;5.25;183.0632;0.0107;11;9;34.8692;6;0.5;0;72.2088;1;2;1;0;0
com.naman14.timber.MusicService.prev(boolean);2;0.1111;1;0;16.1333;4286.3382;0.088;51;37;265.6821;23;1.0;0;53.066;3;7;10;0;1
com.naman14.timber.MusicService.recentlyPlayed();0;0.5;1;0;4.0;132.8771;0.0087;10;10;33.2193;3;1.0;0;78.8662;0;2;2;0;0
com.naman14.timber.MusicService.refresh();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;1.0;0;83.2686;0;1;1;0;0
com.naman14.timber.MusicService.registerExternalStorageListener();2;0.4167;7;1;17.3333;5067.7316;0.0983;57;35;292.3691;27;0.75;0;51.3272;4;4;11;0;N/A
com.naman14.timber.MusicService.releaseServiceUiAndStop();1;0.625;5;2;7.0;1088.1877;0.0353;32;29;155.4554;16;0.8462;0;58.1349;1;7;12;0;0
com.naman14.timber.MusicService.reloadQueue();3;0.3333;11;2;38.8421;37142.9892;0.3711;154;74;956.2558;56;0.9048;0;40.6071;3;18;25;0;0
com.naman14.timber.MusicService.reloadQueueAfterPermissionCheck();2;0.6667;2;1;3.5;105.0;0.0074;10;8;30.0;9;0.0;0;68.6936;2;3;1;0;0
com.naman14.timber.MusicService.removeTrack(long);1;0.25;2;1;21.8571;3857.0543;0.082;38;25;176.4665;15;0.6667;1;58.4352;3;4;6;1;1
com.naman14.timber.MusicService.removeTrackAtPosition(long, int);1;0.3333;2;1;16.0;2140.5272;0.0554;30;22;133.7829;10;0.5;0;63.1283;2;4;4;0;2
com.naman14.timber.MusicService.removeTracks(int, int);1;0.0;0;0;4.8;337.4801;0.0162;19;13;70.3084;7;1.0;0;68.5524;1;2;4;0;2
com.naman14.timber.MusicService.removeTracksInternal(int, int);3;0.25;9;0;74.0;72946.1225;0.5819;169;57;985.7584;59;1.0;1;40.0146;4;19;15;2;2
com.naman14.timber.MusicService.retrievePlaybackAction(String);0;1.0;2;0;6.0;387.176;0.0177;18;12;64.5293;6;0.0;0;70.3785;0;1;3;0;1
com.naman14.timber.MusicService.saveQueue(boolean);1;0.5714;7;1;10.2632;2454.0314;0.0606;47;34;239.1108;18;0.9167;0;55.7475;1;5;13;0;1
com.naman14.timber.MusicService.scheduleDelayedShutdown();1;1.0;3;1;3.85;283.2612;0.0144;18;17;73.5743;6;0.8571;0;69.8852;0;2;7;0;0
com.naman14.timber.MusicService.scrobble();2;0.5;6;0;8.4;785.017;0.0284;22;19;93.4544;8;0.0;0;66.3689;1;3;1;0;0
com.naman14.timber.MusicService.seek(long);2;0.25;3;1;14.0;1868.1264;0.0506;32;18;133.4376;13;0.6667;0;60.6428;2;4;4;0;1
com.naman14.timber.MusicService.seekRelative(long);2;0.1667;1;1;18.0;3301.173;0.0739;40;24;183.3985;19;0.5;0;56.0771;3;4;4;0;1
com.naman14.timber.MusicService.sendErrorMessage(String);0;1.0;2;1;3.75;149.4868;0.0094;12;10;39.8631;5;0.5;0;73.612;0;1;4;0;1
com.naman14.timber.MusicService.setAndRecordPlayPos(int);2;0.3333;3;0;7.8571;720.8013;0.0268;22;18;91.7384;11;1.0;0;63.4181;3;3;6;0;1
com.naman14.timber.MusicService.setIsSupposedToBePlaying(boolean, boolean);2;0.3333;1;0;7.2;548.2591;0.0223;20;14;76.1471;12;1.0;0;63.1028;2;4;5;0;2
com.naman14.timber.MusicService.setNextTrack();0;0.0;0;0;2.0;23.2193;0.0027;5;5;11.6096;3;0.0;0;82.3002;0;1;0;0;0
com.naman14.timber.MusicService.setNextTrack(int);1;0.75;4;2;12.1154;2213.2322;0.0566;38;28;182.6795;10;0.7143;0;62.1445;1;5;9;0;1
com.naman14.timber.MusicService.setQueuePosition(int);1;0.0;0;0;6.5;524.619;0.0217;19;19;80.7106;12;1.0;0;63.0401;2;2;5;0;1
com.naman14.timber.MusicService.setRepeatMode(int);0;0.0;0;0;4.5;216.4757;0.012;13;13;48.1057;8;1.0;0;68.528;1;1;3;0;1
com.naman14.timber.MusicService.setShuffleMode(int);2;0.1111;2;0;16.8;3578.9114;0.078;43;31;213.0304;25;1.0;0;52.9856;3;5;8;0;1
com.naman14.timber.MusicService.setUpMediaSession();0;0.2;2;1;11.25;2298.7088;0.0581;44;25;204.3297;35;0.5;0;50.1457;2;1;4;0;N/A
com.naman14.timber.MusicService.setUpRemoteControlClient();1;1.0;4;3;6.6667;959.7303;0.0324;31;25;143.9595;19;0.3;0;56.9204;1;2;12;0;0
com.naman14.timber.MusicService.stop();0;0.0;0;0;1.5;12.0;0.0017;4;4;8.0;3;0.0;0;83.2686;0;1;0;0;0
com.naman14.timber.MusicService.stop(boolean);2;0.4;5;1;17.1429;4768.117;0.0944;53;38;278.1402;20;0.8;0;54.2265;1;8;7;0;1
com.naman14.timber.MusicService.updateAlbumCursor();1;0.0;0;1;6.4286;488.5714;0.0207;19;16;76.0;9;0.6667;0;65.9215;1;2;4;0;0
com.naman14.timber.MusicService.updateCursor(String, String[]);0;0.0;0;1;4.0;207.2246;0.0117;14;13;51.8062;8;0.6667;0;68.3436;1;1;5;0;2
com.naman14.timber.MusicService.updateCursor(Uri);0;0.0;0;0;5.0;233.0226;0.0126;13;12;46.6045;7;1.0;0;69.9224;1;1;3;0;1
com.naman14.timber.MusicService.updateCursor(long);0;0.0;0;0;3.0;85.588;0.0065;9;9;28.5293;3;0.0;0;79.4591;0;1;1;0;1
com.naman14.timber.MusicService.updateCursorForDownloadedFile(Context, Uri);0;0.5;2;0;9.6429;1002.8571;0.0334;26;16;104.0;19;1.0;0;57.982;1;1;5;0;2
com.naman14.timber.MusicService.updateMediaSession(String);4;0.3077;16;6;31.4857;23386.9257;0.2726;120;73;742.7789;44;0.2593;0;43.7287;4;11;31;0;1
com.naman14.timber.MusicService.updateNotification();3;0.4444;6;0;31.0;10170.7044;0.1565;69;27;328.0872;28;1.0;0;50.5059;2;10;8;0;0
com.naman14.timber.MusicService.updateRemoteControlClient(String);5;0.3889;13;5;23.1739;9758.6098;0.1522;75;49;421.1032;31;0.3571;0;48.8125;5;8;19;0;1
com.naman14.timber.MusicService.wasRecentlyUsed(int, int);1;0.5;2;0;13.3636;3040.8815;0.07;49;25;227.549;17;1.0;1;56.4456;2;5;7;1;2
com.naman14.timber.MusicService.MediaStoreObserver.MediaStoreObserver(Handler);0;1.0;1;0;2.25;31.346;0.0033;6;5;13.9316;4;1.0;0;79.0668;0;1;2;0;1
com.naman14.timber.MusicService.MediaStoreObserver.onChange(boolean);0;0.5;2;0;4.5;135.0;0.0088;10;8;30.0;5;1.0;0;74.4099;0;1;2;0;1
