Method,ASSERT,B,BRANCH,CALL,CALLED,CALLEDp,CALLEDt,CAST,CAUGHT,CDENS,CLOC,CogC,COM_RAT,CONTROL,D,E,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),JLOC,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,NTP,NULL,OVER,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,TCOM_RAT,THROWS,TODO,V,v(G)
com.naman14.timber.MusicPlayer.shuffleAll(Context),0,0,0,11,1,1,0,0,1,25.00%,0,5,0.00%,3,20,"5,067",3,9,59,1,n/a,4,0,18,0,0,51,29,2,18,1,0,1,n/a,38,173,76,3,2.66%,12,0.00%,0,0,247,7
com.naman14.timber.MusicPlayer.unbindFromService(ServiceToken),0,0,0,3,1,1,0,0,0,33.33%,0,3,0.00%,3,9,"1,100",3,6,22,1,n/a,1,0,14,0,0,29,17,1,14,1,0,2,n/a,26,105,52,3,2.07%,9,0.00%,0,0,118,4
com.naman14.timber.MusicService.MediaStoreObserver.MediaStoreObserver(Handler),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,2,31,1,2,6,0,n/a,1,0,4,0,0,6,5,0,4,1,0,0,n/a,6,22,11,1,22.22%,2,0.00%,0,0,13,1
com.naman14.timber.MusicService.MediaStoreObserver.onChange(boolean),0,0,0,2,0,0,0,0,0,0.00%,0,0,0.00%,0,4,135,1,2,9,0,n/a,1,0,5,0,0,10,8,0,5,1,0,0,0,8,34,15,1,27.78%,2,0.00%,0,0,30,1
com.naman14.timber.MusicService.MediaStoreObserver.run(),0,0,0,2,11,6,0,0,0,0.00%,0,0,0.00%,0,2,31,1,2,7,0,n/a,1,0,5,0,0,6,6,0,5,0,0,0,0,6,22,11,1,27.78%,2,0.00%,0,0,15,1
com.naman14.timber.MusicService.MultiPlayer.MultiPlayer(MusicService),0,0,0,3,1,1,0,0,0,0.00%,0,0,0.00%,0,3,99,1,2,12,0,n/a,1,0,4,0,0,10,9,0,4,1,0,0,n/a,7,34,15,1,2.61%,2,0.00%,0,0,31,1
com.naman14.timber.MusicService.MultiPlayer.duration(),0,0,0,1,4,4,0,0,0,0.00%,0,0,0.00%,0,2,23,1,1,3,0,n/a,1,0,3,0,0,5,5,0,3,0,0,0,n/a,5,18,9,1,1.96%,1,0.00%,0,0,11,1
com.naman14.timber.MusicService.MultiPlayer.getAudioSessionId(),0,0,0,1,2,2,0,0,0,0.00%,0,0,0.00%,0,2,23,1,1,3,0,n/a,1,0,3,0,0,5,5,0,3,0,0,0,n/a,5,18,9,1,1.96%,1,0.00%,0,0,11,1
com.naman14.timber.MusicService.MultiPlayer.isInitialized(),0,0,0,0,12,12,0,0,0,0.00%,0,0,0.00%,0,1,12,1,1,1,0,n/a,1,0,3,0,0,4,4,0,3,0,0,0,n/a,4,15,8,1,1.96%,1,0.00%,0,0,8,1
com.naman14.timber.MusicService.MultiPlayer.onCompletion(MediaPlayer),0,0,0,6,0,0,0,0,0,11.11%,0,3,0.00%,1,10,"1,558",1,8,38,1,n/a,2,0,14,0,0,34,24,1,14,1,0,1,n/a,23,116,51,1,9.15%,9,0.00%,0,0,155,3
"com.naman14.timber.MusicService.MultiPlayer.onError(MediaPlayer, int, int)",0,0,0,10,0,0,0,0,0,26.67%,0,1,0.00%,4,12,"3,231",1,11,49,0,n/a,1,0,20,0,0,50,36,1,20,3,0,0,n/a,33,172,76,2,13.07%,15,0.00%,0,0,258,2
com.naman14.timber.MusicService.MultiPlayer.pause(),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,1,12,1,1,3,0,n/a,1,0,3,0,0,4,4,0,3,0,0,0,n/a,4,15,8,1,1.96%,1,0.00%,0,0,8,1
com.naman14.timber.MusicService.MultiPlayer.position(),0,0,0,1,3,3,0,0,0,0.00%,0,0,0.00%,0,2,23,1,1,3,0,n/a,1,0,3,0,0,5,5,0,3,0,0,0,n/a,5,18,9,1,1.96%,1,0.00%,0,0,11,1
com.naman14.timber.MusicService.MultiPlayer.release(),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,1,12,1,1,3,0,n/a,1,0,3,0,0,4,4,0,3,0,0,0,n/a,4,15,8,1,1.96%,1,0.00%,0,0,8,1
com.naman14.timber.MusicService.MultiPlayer.seek(long),0,0,0,1,1,1,0,1,0,0.00%,0,0,0.00%,0,4,135,1,2,6,0,n/a,1,0,4,0,0,10,8,0,4,1,0,0,n/a,8,34,15,1,2.61%,2,0.00%,0,0,30,1
com.naman14.timber.MusicService.MultiPlayer.setAudioSessionId(int),0,0,0,1,0,0,0,0,0,0.00%,0,0,0.00%,0,2,49,1,1,4,0,n/a,1,0,3,0,0,7,7,0,3,1,0,0,n/a,5,24,11,1,1.96%,1,0.00%,0,0,19,1
com.naman14.timber.MusicService.MultiPlayer.setDataSource(String),0,0,0,3,1,1,0,0,1,40.00%,0,2,0.00%,2,5,308,1,3,13,1,n/a,3,0,10,0,0,15,14,2,10,1,0,0,n/a,14,56,30,1,6.54%,5,0.00%,0,0,57,3
"com.naman14.timber.MusicService.MultiPlayer.setDataSourceImpl(MediaPlayer, String)",0,0,0,11,2,2,0,0,2,15.38%,0,4,0.00%,2,22,"4,867",1,11,44,1,n/a,2,0,20,0,0,45,28,2,20,2,0,0,n/a,39,154,68,3,13.07%,13,0.00%,0,0,216,4
com.naman14.timber.MusicService.MultiPlayer.setHandler(Handler),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,1,17,1,1,3,0,n/a,1,0,3,0,0,5,5,0,3,1,0,0,n/a,4,18,9,1,1.96%,1,0.00%,0,0,11,1
com.naman14.timber.MusicService.MultiPlayer.setNextDataSource(String),0,0,0,13,3,3,0,0,2,27.27%,0,9,0.00%,6,30,"9,621",2,16,68,2,n/a,7,0,34,0,0,63,32,3,34,1,0,3,n/a,62,224,106,3,22.22%,22,0.00%,0,0,315,8
com.naman14.timber.MusicService.MultiPlayer.setVolume(float),0,0,0,2,3,3,0,0,1,33.33%,0,1,0.00%,1,5,221,1,2,8,0,n/a,2,0,7,0,0,12,11,1,7,1,0,0,n/a,10,42,20,1,4.58%,3,0.00%,0,0,41,2
com.naman14.timber.MusicService.MultiPlayer.start(),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,1,12,1,1,3,0,n/a,1,0,3,0,0,4,4,0,3,0,0,0,n/a,4,15,8,1,1.96%,1,0.00%,0,0,8,1
com.naman14.timber.MusicService.MultiPlayer.stop(),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,1,23,1,2,6,0,n/a,1,0,4,0,0,6,6,0,4,0,0,0,n/a,5,22,11,1,2.61%,2,0.00%,0,0,15,1
"com.naman14.timber.MusicService.MusicPlayerHandler.MusicPlayerHandler(MusicService, Looper)",0,0,0,2,1,1,0,0,0,0.00%,0,0,0.00%,0,2,67,1,2,7,0,n/a,1,0,4,0,0,9,8,0,4,2,0,0,n/a,6,31,14,1,3.96%,2,0.00%,0,0,26,1
com.naman14.timber.MusicService.MusicPlayerHandler.handleMessage(Message),0,0,0,32,0,0,0,1,0,49.32%,0,28,0.00%,36,51,"65,962",2,37,199,1,n/a,9,0,93,0,0,199,85,4,93,1,0,2,n/a,168,718,346,2,92.08%,73,0.00%,0,0,"1,275",21
com.naman14.timber.MusicService.ServiceStub.ServiceStub(MusicService),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,1,17,1,1,4,0,n/a,1,0,3,0,0,5,5,0,3,1,0,0,n/a,4,18,9,1,1.62%,1,0.00%,0,0,11,1
com.naman14.timber.MusicService.ServiceStub.duration(),0,0,0,2,0,0,0,0,0,0.00%,0,0,0.00%,0,3,58,1,1,5,0,n/a,1,0,4,0,0,7,7,0,4,0,0,0,n/a,6,24,11,1,2.16%,1,0.00%,1,0,19,1
"com.naman14.timber.MusicService.ServiceStub.enqueue(long[], int, long, int)",0,0,0,3,0,0,0,0,0,0.00%,0,0,0.00%,0,4,291,1,1,12,0,n/a,1,0,5,0,0,17,14,0,5,4,0,0,n/a,7,54,21,1,2.70%,1,0.00%,1,0,64,1
com.naman14.timber.MusicService.ServiceStub.getAlbumId(),0,0,0,2,0,0,0,0,0,0.00%,0,0,0.00%,0,3,58,1,1,5,0,n/a,1,0,4,0,0,7,7,0,4,0,0,0,n/a,6,24,11,1,2.16%,1,0.00%,1,0,19,1
com.naman14.timber.MusicService.ServiceStub.getAlbumName(),0,0,0,2,0,0,0,0,0,0.00%,0,0,0.00%,0,2,38,1,1,5,0,n/a,1,0,4,0,0,6,6,0,4,0,0,0,n/a,5,21,10,1,2.16%,1,0.00%,1,0,15,1
com.naman14.timber.MusicService.ServiceStub.getArtistId(),0,0,0,2,0,0,0,0,0,0.00%,0,0,0.00%,0,3,58,1,1,5,0,n/a,1,0,4,0,0,7,7,0,4,0,0,0,n/a,6,24,11,1,2.16%,1,0.00%,1,0,19,1
com.naman14.timber.MusicService.ServiceStub.getArtistName(),0,0,0,2,0,0,0,0,0,0.00%,0,0,0.00%,0,2,38,1,1,5,0,n/a,1,0,4,0,0,6,6,0,4,0,0,0,n/a,5,21,10,1,2.16%,1,0.00%,1,0,15,1
